ID,Nome,SKU,Tipo,Status,Preço,"Preço Regular","Preço Promoção",Estoque,Categorias,Tags,"Imagem Principal"
15328,"BLUSA OLD NAVY AZUL MARINHO TM XL",236,simple,publish,190,190,,1,Array,,
15327,"BLUSA OLD NAVY CINZA TM XL",237,simple,publish,190,190,,1,Array,,
15324,"BLUSA NIKE CINZA TM XL",240,simple,publish,420,420,,1,Array,,
15325,"BLUSA SEA SURF VERDE MILITAR TM G",239,simple,publish,360,360,,1,Array,,
15326,"BLUSA GREG NORMAN AMARELA TM L/G",238,simple,publish,380,380,,1,Array,,
15323,"COLETE COSTÃO GOLF PRETO TM G",247,simple,publish,290,290,,1,Array,,
15322,"viseira adidas  azul marinho",0000366,simple,publish,320,320,,1,Array,,
15317,"camiseta clube feminina preta M",0000373,simple,publish,140,140,,1,Array,,
15318,"tênis Nike Air ZOOM  com logo prata e dourado numeração 7,5",0000372,simple,publish,1250,1250,,1,Array,,
15319,"tênis Nike Air ZOOM com logo prata e dourado numeração 8,5",0000371,simple,publish,1250,1250,,1,Array,,
15320,"tênis Nike Air ZOOM com logo prata e dourado  numeração 8",0000370,simple,publish,1250,1250,,1,Array,,
15315,"BERMUDA NIKE FEMININA GRAFITE TM 4",259,simple,publish,449,449,,1,Array,,
15316,"Camiseta clube feminina branca M",0000375,simple,publish,140,140,,1,Array,,
15312,"SHORT SAIA CALIA BEGE TM M",262,simple,publish,360,360,,1,Array,,
15313,"BERMUDA IZOD BEGE TM 10",261,simple,publish,220,220,,1,Array,,
15314,"BERMUDA IZOD AZUL MARINHO TM 10",260,simple,publish,220,220,,1,Array,,
15311,"SHORT SAIA CALIA BRANCA TM M",263,simple,publish,360,360,,1,Array,,
15309,"SHORT SAIA ADIDAS ROSA E LÍLAS TM XL",265,simple,publish,420,420,,1,Array,,
15310,"TOALHA COSTÃO GOLF BRANCA",264,simple,publish,60,60,,1,Array,,
15306,"SHORT SAIA ADIDAS ROXA TM XL",268,simple,publish,330,330,,1,Array,,
15307,"SHORT SAIA TRICOLOR TM L",267,simple,publish,320,320,,1,Array,,
15308,"SHORT SAIA LADY HAGEN ROSA TM L",266,simple,publish,380,380,,1,Array,,
15303,"SHORT SAIA GRAND SLAM AZUL TM M",271,simple,publish,360,360,,1,Array,,
15304,"SHORT SAIA GREG NORMAN BRANCO TM XXL",270,simple,publish,380,380,,1,Array,,
15305,"SHORT SAIA LADY HAGEN BANCA C/ VERDE TM XXL",269,simple,publish,380,380,,1,Array,,
15300,"SHORT SAIA NIKE AZIL TM M",274,simple,publish,380,380,,1,Array,,
15301,"SHORT SAIA NIKE AZUL TM L",273,simple,publish,360,360,,1,Array,,
15297,"SHORT SAIA DU´MO AZUL CLARO TM G",277,simple,publish,180,180,,1,Array,,
15298,"SHORT SAIA DU´MO AZUL CLARO TM GG",276,simple,publish,180,180,,1,Array,,
15299,"SHORT SAIA AZUL CLARO TM M",275,simple,publish,320,320,,1,Array,,
15294,"SHORT SAIA DU´MO AZUL MARINHO TM M",280,simple,publish,180,180,,1,Array,,
15295,"SHORT SAIA COSTÃO AZUL MARINHO TM G",279,simple,publish,280,280,,1,Array,,
15296,"REPARADOR DE GREEN SEM IMÃ",278,simple,publish,50,50,,1,Array,,
15290,"SHORT SAIA GLOWMODE TM L PRETA",284,simple,publish,320,320,,1,Array,,
15291,"SHORT SAIA DU´MO TM M PRETA",283,simple,publish,180,180,,1,Array,,
15292,"SHORT CALIA DE BADADO PRETO TM M",282,simple,publish,320,320,,1,Array,,
15293,"SHORT SAIA DU´MO AZUL MARINHO TM GG",281,simple,publish,180,180,,1,Array,,
15287,"REGATA GREG NORMAN BRANCA TM XL",287,simple,publish,320,320,,1,Array,,
15288,"SHORT SAIA GREG NORMAN PRETA TM XXL",286,simple,publish,380,380,,1,Array,,
15289,"SHORT SAIA PRETA BOLSO LATERAL TM S",285,simple,publish,220,220,,1,Array,,
15286,"REGATA ADIDAS BRANCA TM S",288,simple,publish,380,380,,1,Array,,
15283,"REGATA ADIDAS AZUL LISTRADA TM M",292,simple,publish,520,520,,1,Array,,
15284,"CAMISETA PGM GOLF AZUL TM L",291,simple,publish,390,390,,1,Array,,
15285,"CAMISETA FJ INFANTIL AZUL TM M",290,simple,publish,380,380,,1,Array,,
15282,"REGATA ADIDAS ROSE TM M",294,simple,publish,420,420,,1,Array,,
15280,"CAMISETA FJ BRANCA C/ VERMELHO TM L",298,simple,publish,390,390,,1,Array,,
15281,"REGATA GREG NORMAN ROSA TM XL",297,simple,publish,350,350,,1,Array,,
15278,"CAMISETA NIKE VERMELHA TM XL",300,simple,publish,370,370,,1,Array,,
15279,"REGATA ADIDAS VERMELHA ESTAMPADA TM M",299,simple,publish,420,420,,1,Array,,
15277,"CAMISETA GREG NORMAL VINHO TM S/P",301,simple,publish,380,380,,1,Array,,
15273,"CAMISETA LADY HAGEN PRETA TM M",305,simple,publish,320,320,,1,Array,,
15274,"CAMISETA ADIDAS CINZA TM S",304,simple,publish,360,360,,1,Array,,
15276,"REGATA GOTTEX GOLF FLORIDA TM S",302,simple,publish,360,360,,1,Array,,
15270,"CAMISETA GELANTE AZUL MARINHO TM XL",308,simple,publish,160,160,,1,Array,,
15271,"CAMISETA TRAVIS MATHEW CINZA TM XXL",307,simple,publish,420,420,,1,Array,,
15272,"CAMISETA PGATOUR PRETA C/CINZA TM S/P",306,simple,publish,320,320,,1,Array,,
15268,"CAMISETA GELANTE AZUL TM L",311,simple,publish,160,160,,1,Array,,
15269,"CAMISETA PARANA AZUL MARINHO TM G",309,simple,publish,140,140,,1,Array,,
15265,"CAMISETA CUTTER E BUCK LISTRADA CINZA TM S/P",314,simple,publish,380,380,,1,Array,,
15266,"CAMISETA WALTER HAGEN AZUL DETALHE LARANJA TM XXL",313,simple,publish,360,360,,1,Array,,
15267,"CAMISETA STITCH AZUL LISTRADA TM XL",312,simple,publish,320,320,,1,Array,,
15262,"CAMISETA TRAVIS MATHEW VINHO TM XL",318,simple,publish,420,420,,1,Array,,
15263,"CAMISETA WALTER HAGEN VINHO TM M",317,simple,publish,360,360,,1,Array,,
15260,"CAMISETA VINEYARD VINES LISTRADA TM L",320,simple,publish,320,320,,1,Array,,
15261,"CAMISETA PGATOUR ROSA TM XL",319,simple,publish,290,290,,1,Array,,
15259,"CAMISETA ADIDAS ROSA TM XL",321,simple,publish,390,390,,1,Array,,
15256,"tee branco grande de plástico com 10 unidades",0000376,simple,publish,15,15,,1,Array,,
15257,"CAMISETA NIKE AMARELA TM S",323,simple,publish,380,380,,1,Array,,
15258,"CAMISETA VINEYARD VINES ROSA ESTAMPADA TM L",322,simple,publish,360,360,,1,Array,,
15252,"CHINELO COSTÃO",326,simple,publish,140,140,,1,Array,,
15253,"OCULOS A99 GOLF",325,simple,publish,350,350,,1,Array,,
15254,"RELOGIO ION EDGE",324,simple,publish,1350,1350,,1,Array,,
15255,"tee branco misto de plástico  ( grande e médio) com 10 unidades",0000377,simple,publish,20,20,,1,Array,,
15249,"luva FJ hiperflx masculina large L (mão esquerda)",0000380,simple,publish,240,240,,1,Array,,
15250,"calça greg norman azul marinho masculina 30x32",0000379,simple,publish,520,520,,1,Array,,
15251,"tee madeira pequeno com 10 unidades",0000378,simple,publish,10,10,,1,Array,,
15246,"luva FJ hiperflx masculina X-LG (mão esquerda )",0000383,simple,publish,240,240,,1,Array,,
15247,"luva FJ hiperflx masculina medium M ( mão esquerda)",0000382,simple,publish,240,240,,1,Array,,
15248,"luva FJ hiperflx masculina medium large ML (mão esquerda )",0000381,simple,publish,240,240,,1,Array,,
15244,"cinto branco e azul masculino Arnold Palmer tamanho 38",0000385,simple,publish,360,360,,1,Array,,
15245,"cinto marrom masculino Arnold Palmer tamanho 38",0000384,simple,publish,360,360,,1,Array,,
15243,"tênis Nike Air Zoom com logo prata e dourado  numeração 4,5",0000386,simple,publish,1250,1250,,1,Array,,
